PWSID,SupplierName,ZIP,size,County,Hydrologic Region,Climate Zone,Population_21,PDSI_div
CA4210007,MONTECITO WATER DIST,93108,LWS,Santa Barbara,Central Coast,6.0,11428.0,40605.0
CA4210009,CUYAMA COMMUNITY SERVICES DISTRICT,93254,SWS,Santa Barbara,Central Coast,4.0,700.0,40605.0
CA4210010,CITY OF SANTA BARBARA WATER DEPARTMENT,93101,LWS,Santa Barbara,Central Coast,6.0,94929.0,40605.0
CA4210011,SANTA MARIA WATER DEPARTMENT,93455,LWS,Santa Barbara,Central Coast,5.0,107407.0,40605.0
CA4210013,SOLVANG WATER DIVISION,93463,LWS,Santa Barbara,Central Coast,5.0,5792.0,40605.0
CA4210016,GOLDEN STATE WATER COMPANY - ORCUTT,93402,LWS,Santa Barbara,Central Coast,5.0,32569.0,40605.0
CA4210017,VANDENBERG VILLAGE COMM. SERV. DIST.,93436,LWS,Santa Barbara,Central Coast,5.0,7442.0,40605.0
CA4210018,BUELLTON WATER DEPARTMENT,93427,LWS,Santa Barbara,Central Coast,5.0,5464.0,40605.0
CA4210019,MISSION HILLS CSD,93436,LWS,Santa Barbara,Central Coast,5.0,3600.0,40605.0
CA4210020,SANTA YNEZ RIVER WATER CONS. DIST. ID#1,93460,LWS,Santa Barbara,Central Coast,5.0,6737.0,40605.0
CA4210021,GOLDEN STATE WATER COMPANY - TANGLEWOOD,93455,SWS,Santa Barbara,Central Coast,5.0,1962.0,40605.0
CA4300545,SARATOGA HEIGHTS MUTUAL WATER COMPANY,95070,SWS,Santa Clara,San Francisco Bay,4.0,258.0,40405.0
CA4310005,CITY OF MILPITAS,95035,LWS,Santa Clara,San Francisco Bay,4.0,74865.0,40405.0
CA4310007,CITY OF MOUNTAIN VIEW,94043,LWS,Santa Clara,San Francisco Bay,4.0,83864.0,40405.0
CA4310012,CITY OF SANTA CLARA,95050,LWS,Santa Clara,San Francisco Bay,4.0,129104.0,40405.0
CA4310014,CITY OF SUNNYVALE,94087,LWS,Santa Clara,San Francisco Bay,4.0,155567.0,40405.0
CA4410010,SANTA CRUZ WATER DEPARTMENT,95060,LWS,Santa Cruz,Central Coast,3.0,97767.0,40405.0
CA4410011,"WATSONVILLE, CITY OF",95076,LWS,Santa Cruz,Central Coast,3.0,65384.0,40405.0
CA4410014,SAN LORENZO VALLEY WATER DIST,95006,LWS,Santa Cruz,Central Coast,3.0,21145.0,40405.0
CA4410017,SOQUEL CREEK WATER DISTRICT,95073,LWS,Santa Cruz,Central Coast,3.0,40644.0,40405.0
CA4510002,MOUNTAIN GATE C.S.D.,96003,SWS,Shasta,Sacramento River,11.0,2227.0,40205.0
CA4510006,CITY OF SHASTA LAKE,96019,LWS,Shasta,Sacramento River,11.0,10657.0,40205.0
CA4510007,COTTONWOOD COUNTY WATER DIST.,96022,LWS,Shasta,Sacramento River,11.0,3316.0,40205.0
CA4510011,CENTERVILLE C.S.D.,96001,LWS,Shasta,Sacramento River,11.0,4211.0,40205.0
CA4510014,BELLA VISTA WATER DISTRICT,96003,LWS,Shasta,Sacramento River,11.0,19098.0,40205.0
CA4710011,CITY OF YREKA,96097,LWS,Siskiyou,North Coast,16.0,7786.0,40105.0
CA4810001,CITY OF BENICIA,94510,LWS,Solano,San Francisco Bay,12.0,28000.0,40105.0
CA4810005,SUISUN-SOLANO WATER AUTHORITY,95688,LWS,Solano,San Francisco Bay,12.0,29917.0,40105.0
CA4810008,CITY OF VACAVILLE,95688,LWS,Solano,Sacramento River,12.0,98742.0,40205.0
CA4900532,SONOMA COUNTY CSA 41-JENNER,95450,SWS,Sonoma,North Coast,1.0,406.0,40105.0
CA4900536,OCCIDENTAL COMMUNITY SERVICES DISTRICT,95465,SWS,Sonoma,North Coast,2.0,383.0,40105.0
CA4900543,SONOMA COUNTY CSA 41-SALMON CREEK,94923,SWS,Sonoma,North Coast,1.0,427.0,40105.0
CA4900611,RAINS CREEK WATER DISTRICT,95425,SWS,Sonoma,North Coast,2.0,208.0,40105.0
CA4910005,"HEALDSBURG, CITY OF",95448,LWS,Sonoma,North Coast,2.0,12104.0,40105.0
CA4910008,RUSSIAN RIVER COUNTY WATER DISTRICT,95436,LWS,Sonoma,North Coast,2.0,4150.0,40105.0
CA4910009,"SANTA ROSA, CITY OF",95403,LWS,Sonoma,North Coast,2.0,173648.0,40105.0
CA4910011,"SEBASTOPOL, CITY OF",95472,LWS,Sonoma,North Coast,2.0,7786.0,40105.0
CA4910012,"SONOMA, CITY OF",95476,LWS,Sonoma,San Francisco Bay,2.0,11923.0,40105.0
CA4910013,VALLEY OF THE MOON WATER DISTRICT,95476,LWS,Sonoma,San Francisco Bay,2.0,23077.0,40105.0
CA4910017,"WINDSOR, TOWN OF",95492,LWS,Sonoma,North Coast,2.0,28397.0,40105.0
CA4910022,CANON MANOR WATER SYSTEM,94951,SWS,Sonoma,North Coast,2.0,795.0,40105.0
CA4910025,KENWOOD VILLAGE WATER COMPANY (PUC),95452,SWS,Sonoma,San Francisco Bay,2.0,1000.0,40105.0
CA4910029,CAMP MEEKER WATER SYSTEM,95465,SWS,Sonoma,North Coast,2.0,1171.0,40105.0
CA5000010,TID/ LA GRANGE WATER SYSTEM,95329,SWS,Stanislaus,San Joaquin River,12.0,195.0,40505.0
CA5000433,OID-OAKDALE RURAL WATER SYSTEM #1,95361,SWS,Stanislaus,San Joaquin River,12.0,1570.0,40505.0
CA5010009,KEYES COMMUNITY SERVICES DIST.,95328,LWS,Stanislaus,San Joaquin River,12.0,5999.0,40505.0
CA5010017,"PATTERSON, CITY OF",95363,LWS,Stanislaus,San Joaquin River,12.0,23764.0,40505.0
CA5010019,"TURLOCK, CITY OF",95380,LWS,Stanislaus,San Joaquin River,12.0,74297.0,40505.0
CA5010028,"CERES, CITY OF",95307,LWS,Stanislaus,San Joaquin River,12.0,48706.0,40505.0
CA5010039,WESTERN HILLS WATER DISTRICT/DIABLO GRAN,95363,LWS,Stanislaus,San Joaquin River,12.0,2000.0,40505.0
CA5110001,CITY OF LIVE OAK,95953,LWS,Sutter,Sacramento River,11.0,8912.0,40205.0
CA5110002,CITY OF YUBA CITY,95993,LWS,Sutter,Sacramento River,11.0,73202.0,40205.0
CA5210001,CITY OF CORNING,96021,LWS,Tehama,Sacramento River,11.0,7663.0,40205.0
CA5301102,TRINITY KNOLLS MUTUAL WATER COMPANY,96091,SWS,Trinity,North Coast,16.0,338.0,40105.0
CA5402048,DEL ORO RIVER ISLAND SERV TERR #2,93265,SWS,Tulare,Tulare Lake,13.0,99.0,40505.0
CA5410006,"LINDSAY, CITY OF",93247,LWS,Tulare,Tulare Lake,13.0,13463.0,40505.0
CA5410010,"PORTERVILLE, CITY OF",93257,LWS,Tulare,Tulare Lake,13.0,65702.0,40505.0
CA5410012,STRATHMORE PUBLIC UTIL DIST,93267,SWS,Tulare,Tulare Lake,13.0,1690.0,40505.0
CA5410015,"TULARE, CITY OF",93274,LWS,Tulare,Tulare Lake,13.0,65982.0,40505.0
CA5410034,DEL ORO CALIFORNIA PINES DISTRICT,93207,SWS,Tulare,Tulare Lake,13.0,930.0,40505.0
CA5410036,LSID-STRATHMORE SYSTEM,93247,SWS,Tulare,Tulare Lake,13.0,500.0,40505.0
CA5500243,RAMBLING HILLS ESTATES,95310,SWS,Tuolumne,San Joaquin River,12.0,78.0,40505.0
CA5510005,TWAIN HARTE COMMUNITY SERVICES DISTRICT,95383,LWS,Tuolumne,San Joaquin River,12.0,2226.0,40505.0
CA5510006,MI-WUK VILLAGE MUT WTR CO,95346,SWS,Tuolumne,San Joaquin River,12.0,1737.0,40505.0
CA5510009,GROVELAND COMMUNITY SERV DIST,95321,LWS,Tuolumne,San Joaquin River,12.0,3400.0,40505.0
CA5510011,COLD SPRINGS WATER CO,95335,SWS,Tuolumne,San Joaquin River,16.0,153.0,40505.0
CA5601116,SAN CAYETANO MUTUAL WATER CO,93060,SWS,Ventura,South Coast,9.0,46.0,40605.0
CA5601120,SISAR MUTUAL WATER CO,93060,SWS,Ventura,South Coast,9.0,340.0,40605.0
CA5602103,CYPRESS MUTUAL WATER CO INC,93030,SWS,Ventura,South Coast,6.0,228.0,40605.0
CA5602130,SOLANO VERDE MUTUAL WATER CO,93066,SWS,Ventura,South Coast,6.0,0.0,40605.0
CA5610009,PORT HUENEME WATER DEPT,93041,LWS,Ventura,South Coast,6.0,21954.0,40605.0
CA5610010,RIO PLAZA WATER CO INC,93036,SWS,Ventura,South Coast,6.0,1716.0,40605.0
CA5610011,SANTA PAULA WATER SYSTEM,93060,LWS,Ventura,South Coast,9.0,29321.0,40605.0
CA5610019,CAMARILLO WATER DEPT,93010,LWS,Ventura,South Coast,6.0,40481.0,40605.0
CA5610021,WARRING WATER SERVICE INC,93040,SWS,Ventura,South Coast,9.0,2100.0,40605.0
CA5610023,VENTURA WWD NO. 8 - SIMI VALLEY,93063,LWS,Ventura,South Coast,9.0,94738.0,40605.0
CA5610024,CASITAS MUNICIPAL WATER DIST,93022,LWS,Ventura,South Coast,9.0,11042.0,40605.0
CA5610039,CHANNEL ISLANDS BEACH CSD,93035,LWS,Ventura,South Coast,6.0,5400.0,40605.0
CA5610040,CAL AMERICAN WATER CO,91320,LWS,Ventura,South Coast,9.0,66369.0,40605.0
CA5610043,OAK PARK WATER SERVICE,91377,LWS,Ventura,South Coast,9.0,12200.0,40605.0
CA5610058,CRESTVIEW MUTUAL WATER CO,93010,SWS,Ventura,South Coast,6.0,2040.0,40605.0
CA5610059,GOLDEN STATE WATER COMPANY - SIMI,93063,LWS,Ventura,South Coast,9.0,43934.0,40605.0
CA5610063,CAMROSA WATER DISTRICT,93012,LWS,Ventura,South Coast,6.0,32700.0,40605.0
CA5610081,CAL AMERICAN WC - LAS POSAS ESTATES,91320,SWS,Ventura,South Coast,9.0,2049.0,40605.0
CA5710003,CITY OF WEST SACRAMENTO,95605,LWS,Yolo,Sacramento River,12.0,53355.0,40205.0
CA5710005,CITY OF WINTERS,95694,LWS,Yolo,Sacramento River,12.0,7417.0,40205.0
CA5710006,CITY OF WOODLAND,95776,LWS,Yolo,Sacramento River,12.0,60978.0,40205.0
CA5810002,LINDA COUNTY WATER DISTRICT,95901,LWS,Yuba,Sacramento River,11.0,19986.0,40205.0
